ITEM_ID,TITLE,GENRES,MOVIE_LENGTH,YEAR_PUBLISH,RATING,SYNOPSIS,CAST,DIRECTOR,LANGUAGE,SUBTITLE,CREATION_TIMESTAMP,AVAILABLE_THIS_MONTH
101,22 Jump Street,Comedy,112 min.,2014,R,"After officers Schmidt and Jenko go deep undercover at a local college, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can grow from freshmen into real men.","Jonah Hill, Channing Tatum, Ice Cube","Phil Lord, Chris Miller","English, Japanese, Korean, French, German, Italian","Chinese Traditional, English, Korean, Arabic",1730429969,1
102,3:10 to Yuma,Drama,122 min.,2007,R,"Rancher Dan Evans heads into Bisbee to clear up issues concerning the sale of his land when he witnesses the closing events of a stagecoach robbery led by famed outlaw Ben Wade. Shortly thereafter, Wade is captured by the law in Bisbee.","Russell Crowe, Christian Bale, Ben Foster, Peter Fonda, Logan Lerman",James Mangold,"English, French, German, Spanish",Korean,1730429969,1
103,90 Years Old - So What?,Comedy,99 min.,2024,PG13,"90-year-old award-winning writer Aiko Sato retired many years ago. Her peaceful existence is disrupted by Shinya Yoshikawa, an editor in need of a career boost. He persuades Aiko to start writing again leading to professional success for each of them. Yet, both still face personal challenges.","Mitsuko Kusabue, Toshiaki Karasawa",Tetsu Maeda,Japanese,"Chinese Traditional, Chinese Simplified, English",1730429969,0
104,Ali,Drama,157 min.,2001,R,"A biography of sports legend, Muhammad Ali, from his early days to his days in the ring.","Will Smith, Jon Voight, Jamie Foxx",Michael Mann,"English, French, German, Italian, Spanish (Castillian), Portuguese (Brazilian)","Chinese Traditional, Chinese Simplified, Japanese, Korean",1730429969,0
105,Aliens Expanded,Documentary,100 min.,2024,NR,"Brimming with stories, insight, and wonderful personal detail, this is the most passionate and sophisticated exploration of Aliens ever made: a love letter to the people who made it and the communities who adore it.","James Cameron, Sigourney Weaver",Ian Nathan,English,English,1730429969,1
106,All Shall Be Well,Drama,93 min.,2024,PG13,"Angie and Pat are a lesbian couple who have been together for over four decades. When Pat passes away unexpectedly, Angie is left to deal with her partner’s estate. But Pat did not leave a will leaving Angie no legal right to the property she calls home and she must fight for what she believes is rightfully hers.","Patra Au, Maggie Li",Ray Yeung,Chinese (Cantonese),"Chinese Traditional, Chinese Simplified, English",1730429969,0
107,Anne-Marie: Therapy - The Live Experience,Concerts,40 min.,2021,NR,"The performance saw Anne-Marie performing all 12 songs from the album live for the first time ever. With a swarm of platinum-selling releases, Anne-Marie’s remarkable vocal range has made her one of the biggest artists on the planet.",Anne -Marie,Nic Minns,English,,1730429969,1
108,Be My Family,Drama,132 min.,2023,G,"To claim arrears, two laid-off workers, Zhenbang and Yang Wu, take temporary care of Qianqian, the daughter of their debtor. When they discover she is going to be sold to a human trafficker, Zhenbang decides to rescue her. From that moment on, they embark on a new life, transitioning from being tough creditors to loving fathers.","Yi Zhang, Binlong Pan",Dapeng Zhang,Putonghua,"Chinese Traditional, Chinese Simplified, English",1730429969,1
109,Birth,Drama,101 min.,2024,NR,"Marisa decides to take her daughter to Madrid to find a solution for an unwanted pregnancy. Lucia ends up in a reformatory for pregnant teenagers. There, she will forge strong friendships and discover the truth that her child is to be taken away.","Sofía Milán, María Vázquez, Celia Lopera",Pau Teixidor,Spanish (Castillian),English,1730429969,1
110,Bonus Track,Romantic Comedy,98 min.,2023,NR,"George dreams of being a star and knows he’s a gifted musician, but no one seems to agree. When Max – the son of a famous musical duo – enrols at his school and takes an interest in his music, George can’t believe it, and neither can anyone else.","Joe Anders, Samuel Small, Josh O'Connor, Jack Davenport, Alison Sudal",Julia Jackman,English,"Chinese Traditional, Chinese Simplified, Japanese",1730429969,1
